"t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
80,87,2.00108837451024,0.00112976839375627,1.99887467334269,1.99923043356277,2.00032624146471,2.00108816189651,2.00185027577976,2.00294704070162,2.00330328394411
81,88,2.00150772769977,0.00105102317584907,1.99944828292006,1.99977926224197,2.00079872310086,2.00150754373018,2.00221653174844,2.00323682069385,2.00356821796354
82,89,2.00106849438301,0.000977567033265339,1.99915295057114,1.99946081125031,2.00040904870006,2.00106833519517,2.00172776653098,2.00267672051926,2.00298494284625
83,90,2.00091606841489,0.000909316724247389,1.99913423181781,1.99942061047226,2.00030266854719,2.0009159306685,2.0015293181215,2.00241199622242,2.00269868781335
84,91,2.00058027931164,0.000845791567668072,1.99892289700757,1.99918927930181,2.00000973661941,2.00058016011899,2.00115069206872,2.00197168589793,2.00223833897769
85,92,2.00036123876653,0.000786728235124126,1.9988195728441,1.99906736190622,1.99983054243377,2.00036113562827,2.00089182266548,2.0016554674404,2.00190349081518
86,93,2.00047592512573,0.000731857588998208,1.99904176422089,1.99927227875165,1.99998224604952,2.00047583587772,2.00096950691026,2.00167987593256,2.0019105932197
87,94,2.00050908140909,0.000680809137030449,1.99917493948107,1.99938938176627,2.00004984053845,2.00050900417857,2.00096823808865,2.00162904449194,2.00184366223181
88,95,1.99972683016621,0.000633198960904968,1.99848597292083,1.99868542455717,1.999299707537,1.99972676333359,2.00015387993936,2.00076846374711,2.00096806721584
89,96,1.9987160686371,0.000588891375867624,1.99756202709691,1.99774752717341,1.99831883592208,1.99871601080113,1.99911323830355,1.9996848073843,1.99987043885434
90,97,1.99943222311586,0.000547930923307305,1.99835844046867,1.99853104232372,1.99906262204766,1.9994321730636,1.99980176962074,2.00033357464061,2.00050629020592
91,98,1.99962830547295,0.000509760178286462,1.99862931697275,1.99878989848084,1.99928445385102,1.99962826215566,1.99997210987352,2.0004668602241,2.00062754014174
92,99,1.99940181276661,0.000474205481784925,1.99847249363103,1.9986218781055,1.99908194559867,1.99940177527693,1.99972163906603,2.0001818753083,2.00033134495299
93,100,1.9996573779286,0.000441187320512066,1.99879275886934,1.9989317447076,1.99935978392018,1.999657345482,1.99995493656611,2.00038312182779,2.00052218137923
94,101,1.99992702254324,0.000410466307037284,1.99912260315986,1.99925191344691,1.99965015192229,1.99992699446179,2.00020386255184,2.00060222742787,2.00073160151123
95,102,1.99982245271887,0.000381842969014677,1.99907412330974,1.99919441837863,1.9995648903052,1.99982242841604,2.00007998863936,2.00045056995819,2.00057092023899
96,103,2.00016707059199,0.000355252067859035,1.99947084909775,1.9995827688133,1.99992744525094,2.00016704955974,2.00040667300521,2.0007514441135,2.00086341161077
97,104,2.00022514903543,0.000330486605007261,1.99957745891265,1.99968157798977,2.00000222928789,2.00022513083391,2.00044804894099,2.00076878216804,2.00087294259592
98,105,2.00030499848345,0.000307447690047857,1.99970245684263,1.99979931890186,2.00009761958305,2.00030498273184,2.00051236021259,2.00081073179516,2.00090762963938
99,106,1.99999724482259,0.000285985418260183,1.99943676243647,1.99952686392002,1.99980434316006,1.99999723119129,2.00019013162527,2.00046767222269,2.00055780467424
100,107,2.0001179777765,0.000266049354394523,1.99959656414342,1.99968038565108,1.99993852378473,2.00011796598015,2.00029741890875,2.00055561014028,2.00063945844725
101,108,2.00016635369605,0.000247498301323618,1.99968129494658,1.99975927262904,1.99999941306486,2.00016634348766,2.0003332831988,2.00057346958475,2.00065147045893
102,109,2.00020894144328,0.000230240917282912,1.99975770264024,1.99983024390316,2.00005364148966,2.00020893260906,2.00036423176647,2.0005876691177,2.00066023045048
103,110,2.00018486404769,0.000214183695789482,1.99976509344144,1.99983257625832,2.00004039517348,2.00018485640262,2.00032932458781,2.00053717791506,2.00060467810024
104,111,2.00010091620876,0.00019924333747263,1.99971042524254,1.99977320136671,1.99996652501395,2.00010090959277,2.0002353001913,2.00042865361851,2.00049144477307
105,112,2.00009677196182,0.000185348636147026,1.99973351157918,1.99979191035065,1.99997175308601,2.00009676623641,2.00022178459621,2.00040165310286,2.00046006488149
106,113,2.00010831781237,0.00017242347105455,1.99977038809783,1.99982471489136,1.99999201724798,2.00010831285766,2.0002246129755,2.00039193763432,2.0004462756841
107,114,2.00017346831573,0.000160401957619224,1.99985909843942,1.99990963788713,2.00006527650243,2.00017346402797,2.00028165545483,2.00043731337025,2.00048786255903
108,115,2.00012027682288,0.000149214355846818,1.9998278326031,1.99987484737723,2.00001963124687,2.00012027311229,2.00022091835387,2.00036571892571,2.00041274212969
109,116,2.00011843301665,0.00013880895059158,1.99984638159716,1.99989011808767,2.00002480605205,2.00011842980551,2.0002120564807,2.00034675889907,2.00039050268472
110,117,2.00001456932564,0.000129125787936741,1.99976149532801,1.99980218104465,1.99992747379059,2.00001456654675,2.00010166183135,2.00022696708568,2.00026765911549
111,118,2.00010284826304,0.000120123940430076,1.99986741649943,1.99990526606558,2.00002182458573,2.0001028458582,2.00018386931877,2.00030043866361,2.00033829369313
112,119,2.00007640119476,0.000111746482859863,1.99985738802647,1.99989259813666,2.00000102820315,2.00007639911363,2.00015177191768,2.00026021135179,2.00029542618996
113,120,2.00008981094452,0.000103954457497518,1.99988606906933,1.99991882414982,2.00001969374682,2.00008980914351,2.00015992617889,2.00026080388262,2.00029356305469
114,121,2.00007788714276,9.67052115403618e-05,1.99988835283972,1.99991882388309,2.00001265961928,2.00007788558417,2.00014311296717,2.0002369557189,2.00026743030312
115,122,2.00011380053686,8.99625449297706e-05,1.99993748102143,1.99996582761902,2.00005312098725,2.00011379918806,2.00017447861612,2.00026177805558,2.00029012771741
116,123,2.00015992450721,8.36901283648461e-05,1.99999589818646,2.00002226848685,2.00010347573723,2.00015992333996,2.00021637200474,2.00029758450915,2.00032395746132
117,124,2.00014430077469,7.78537399278375e-05,1.99999171311863,2.00001624449104,2.00009178867453,2.00014429976457,2.00019681177369,2.00027236050398,2.00029689417123
118,125,2.00013803899567,7.24244799320005e-05,1.9999960921073,2.0000189128181,2.00008918894983,2.00013803812151,2.00018688808856,2.00025716815506,2.0002799908518
119,126,2.00012371757072,6.73736547917722e-05,1.99999166978336,2.00001289906051,2.0000782743188,2.00012371681423,2.00016915999796,2.00023453866137,2.00025576965713
120,127,2.00008788175352,6.26747174822551e-05,1.99996504342471,1.99998479213371,2.00004560794216,2.00008788109886,2.00013015485122,2.00019097360643,2.0002107238027
121,128,2.00008745281206,5.83040611187263e-05,1.99997318056191,1.99999155213192,2.00004812701165,2.00008745224552,2.00012677799488,2.0001833554247,2.00020172828178
122,129,2.00007712327661,5.42381192328841e-05,1.99997081990943,1.99998791034567,2.00004053995389,2.00007712278633,2.00011370606486,2.00016633787993,2.00018342942999
123,130,2.00005317179028,5.04556126693439e-05,1.99995428181222,1.99997018041642,2.00001913976544,2.000053171366,2.0000872033526,2.00013616461141,2.00015206417951
124,131,2.00006835765973,4.69374015741603e-05,1.99997636308643,1.99999115313075,2.00003669866334,2.00006835729256,2.00010001625586,2.00014556344118,2.00016035431965
125,132,2.00003237177093,4.36639691288561e-05,1.9999467928669,1.99996055147489,2.00000292069811,2.00003237145318,2.00006182249736,2.00010419315086,2.00011795248072
126,133,2.00003112403221,4.06192020136159e-05,1.99995151264054,1.99996431185945,2.00000372664691,2.00003112375723,2.00005852111774,2.00009793714296,2.00011073698659
127,134,2.00000899949994,3.77865712414081e-05,1.99993493985739,1.99994684652705,1.99998351271524,2.00000899926197,2.00003448602523,2.00007115328456,2.00008306049485
128,135,2.00002235524072,3.51518156879145e-05,1.99995345953316,1.99996453600044,1.99999864558909,2.00002235503479,2.00004606466786,2.00008017518349,2.00009125211863
129,136,2.00000405828023,3.27005336075538e-05,1.99993996691849,1.99995027099288,1.99998200200834,2.00000405810201,2.00002611435783,2.0000578461755,2.00006815065478
130,137,2.00000824260596,3.04203789408693e-05,1.99994862019709,1.99995820579838,1.9999877242881,2.00000824245173,2.00002876075569,2.00005827993964,2.00006786589132
131,138,2.00001601867668,2.82992480793974e-05,1.99996055354891,1.99996947078348,1.99999693105116,2.0000160185432,2.00003510615669,2.00006256702516,2.00007148456296
132,139,2.00000921007218,2.63259212754181e-05,1.99995761254284,1.9999659079821,1.99999145344516,2.00000920995667,2.00002696657329,2.00005251255628,2.00006080825795
133,140,2.00001690059376,2.44902839337016e-05,1.99996890080332,1.9999766178319,2.00000038209378,2.0000169004938,2.00003341898477,2.0000571836966,2.00006490095228
134,141,2.0000057060722,2.27825297864176e-05,1.99996105338014,1.99996823229299,1.99999033944222,2.00000570598569,2.00002107260787,2.00004318014649,2.00005035925586
135,142,2.00001120539356,2.11939494762951e-05,1.99996966622861,1.99997634457657,1.99999691025106,2.00001120531869,2.00002550045444,2.0000460664659,2.00005274498394
136,143,2.00000107380604,1.9716060596071e-05,1.99996243122145,1.99996864388276,1.99998777548994,2.00000107374125,2.00001437205151,2.00003350395032,2.00003971675882
137,144,1.99998908189808,1.83412221238782e-05,1.9999531339226,1.99995891336797,1.99997671090119,1.99998908184201,2.00000145283385,2.00001925061944,2.00002503019219
138,145,1.99999315894472,1.70623278565678e-05,1.9999597175345,1.99996509399562,1.99998165055302,1.9999931588962,2.00000466728353,2.00002122405934,2.00002660063068
139,146,1.99998812832185,1.58725763945738e-05,1.99995701876309,1.99996202032861,1.99997742240887,1.99998812827986,1.99999883418905,2.00001423645832,2.00001923811924
140,147,1.99998408974389,1.4765794251532e-05,1.99995514942221,1.99995980223564,1.9999741303472,1.99998408970755,1.99999404910096,2.00000837737609,2.00001303027208
141,148,1.9999880177267,1.37362178470908e-05,1.99996109532379,1.99996542371259,1.99997875277141,1.99998801769525,1.9999972826477,2.00001061184808,2.00001494030832
142,149,1.99999430898651,1.27784394323755e-05,1.99996926378277,1.99997329037048,1.99998569004526,1.9999943089593,2.0000029278981,2.00001532769537,2.00001935434491
143,150,1.99999225939515,1.18874179387759e-05,1.99996896055104,1.9999727063728,1.99998424144075,1.9999922593716,2.00000027732387,2.00001181249783,2.0000155583731
144,151,1.99999809645239,1.10585467507268e-05,1.99997642215696,1.99997990679643,1.99999063756485,1.99999809643201,2.00000555531772,2.00001628617789,2.00001977086366
145,152,1.9999998447216,1.0287457569323e-05,1.99997968172539,1.99998292338978,1.9999929059273,1.99999984470396,2.00000678349667,2.00001676611357,2.00002000781804
146,153,1.99999427801477,9.57011557062704e-06,1.9999755209763,1.9999785366015,1.99998782306159,1.9999942779995,2.00000073295131,2.00001001948011,2.00001303513999
147,154,1.99999620636887,8.90280975665893e-06,1.99997875721992,1.99998156257248,1.99999020150774,1.99999620635566,2.0000022112156,2.00001085021032,2.00001365559289
148,155,2.00001160134868,8.28206158670951e-06,1.99999536883874,1.99999797858914,2.0000060151768,2.00001160133725,2.0000171875081,2.00002522414722,2.0000278339236
149,156,2.00000438395672,7.70455045616328e-06,1.99998928334342,1.99999171111583,1.99999918731101,2.00000438394683,2.00000958059164,2.00001705683136,2.00001948462624
150,157,2.00000041026832,7.16731474420348e-06,1.99998636261388,1.99998862109927,1.99999557598332,2.00000041025976,2.00000524454399,2.00001219946658,2.00001445797141
151,158,2.00000229590664,6.66754943308422e-06,1.99998922777094,1.99999132877641,1.99999779870885,2.00000229589923,2.00000679309635,2.00001326306214,2.00001536408444
152,159,2.00000129350352,6.20262697435539e-06,1.99998913659626,1.99999109110098,1.9999971098917,2.0000012934971,2.00000547710834,2.00001149592793,2.00001345044721
153,160,1.99999974074412,5.77012261784291e-06,1.99998843152737,1.99999024974646,1.99999584885253,1.99999974073857,2.00000363262965,2.0000092317607,2.0000110499924
154,161,2.01874690378656,5.39287818363196e-06,2.01873633395319,2.01873803329951,2.01874326634289,2.01874690378176,2.018750541225,2.01875577428999,2.01875747364722
155,162,2.03505787717709,5.03595058043135e-06,2.03504800690712,2.03504959378259,2.03505448047777,2.03505787717293,2.03506127387187,2.03506616058575,2.03506774747066
156,163,2.04933148308738,4.69808573583797e-06,2.04932227501875,2.04932375543014,2.04932831427475,2.04933148308379,2.0493346518961,2.04933921075687,2.04934069117642
157,164,2.06192897634565,4.37793518182359e-06,2.06192039575917,2.06192177528837,2.06192602347155,2.06192897634255,2.06193192921637,2.06193617741349,2.06193755694973
158,165,2.07311227785982,4.0745688415292e-06,2.07310429185922,2.07310557579504,2.07310952960344,2.07311227785715,2.07311502611328,2.07311897993371,2.07312026387559
159,166,2.08305892603918,3.78775025344855e-06,2.08305150219162,2.08305269574835,2.0830563712392,2.08305892603688,2.08306148083665,2.08306515633783,2.08306634989978
160,167,2.09188589173416,3.51761570603838e-06,2.09187899733966,2.09188010577457,2.09188351913734,2.09188589173218,2.09188826432882,2.09189167770047,2.09189278613985
161,168,2.09971194831531,3.2641590330997e-06,2.09970555068597,2.09970657925437,2.09970974667257,2.09971194831361,2.09971414995619,2.09971731738202,2.09971834595426
162,169,2.10015230179218,3.02229092898713e-06,2.10014637821492,2.10014733056845,2.10015026328713,2.10015230179073,2.10015434029564,2.10015727302084,2.10015822537767
163,170,2.10045461180301,2.79732543657002e-06,2.10044912914943,2.10045001061424,2.100452725035,2.10045461180177,2.10045649856967,2.10045921299602,2.10046009446365
164,171,2.10077631581478,2.58850787637158e-06,2.10077124243559,2.10077205810002,2.10077456989217,2.10077631581372,2.10077806173623,2.10078057353316,2.10078138920001
165,172,2.1010722405318,2.39499223305227e-06,2.10106754643587,2.10106830112169,2.10107062513359,2.10107224053089,2.10107385592902,2.10107617994502,2.10107693463291
166,173,2.10126722351218,2.21587444966182e-06,2.10126288048028,2.10126357872438,2.10126572892715,2.1012672235114,2.10126871809636,2.10127086830263,2.10127156654851
167,174,2.10131673885249,2.05015553659715e-06,2.10131272062337,2.10131336664786,2.10131535604323,2.10131673885182,2.10131812166102,2.1013201110594,2.1013207570854
168,175,2.10123939261163,1.89681519707766e-06,2.10123567492378,2.10123627262924,2.10123811322891,2.10123939261105,2.10124067199372,2.10124251259596,2.10124311030272
169,176,2.1010699350003,1.75489431987674e-06,2.10106649547203,2.10106704845685,2.1010687513418,2.10106993499981,2.10107111865827,2.10107282154542,2.10107337453135
170,177,2.10111014391803,1.62364812476875e-06,2.10110696162737,2.10110747325524,2.10110904878378,2.10111014391761,2.10111123905182,2.10111281458225,2.10111332621107
171,178,2.10117532950008,1.50221607054613e-06,2.1011723852117,2.10117285857514,2.10117431627054,2.10117532949972,2.10117634272923,2.10117780042624,2.10117827379049
